"filename", "language", "TypeScript", "JSON with Comments", "JSON", "Markdown", "HTML", "XML", "comment", "blank", "total"
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\.bolt\config.json", "JSON", 0, 0, -3, 0, 0, 0, 0, -1, -4
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\README.md", "Markdown", 0, 0, 0, -3, 0, 0, 0, -3, -6
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\index.html", "HTML", 0, 0, 0, 0, -13, 0, 0, 0, -13
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\package-lock.json", "JSON", 0, 0, -2234, 0, 0, 0, 0, -1, -2235
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\package.json", "JSON", 0, 0, -28, 0, 0, 0, 0, -1, -29
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\public\vite.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, -1
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\tsconfig.app.json", "JSON", 0, 0, -20, 0, 0, 0, -2, -3, -25
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\tsconfig.json", "JSON with Comments", 0, -7, 0, 0, 0, 0, 0, -1, -8
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\tsconfig.node.json", "JSON", 0, 0, -18, 0, 0, 0, -2, -3, -23
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\vite.config.ts", "TypeScript", -5, 0, 0, 0, 0, 0, -1, -2, -8
"Total", "-", -5, -7, -2303, -3, -13, -1, -5, -15, -2352
