"filename", "language", "TypeScript", "XML", "vue", "SCSS", "CSS", "comment", "blank", "total"
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\App.vue", "vue", 0, 0, 38, 0, 0, 0, 6, 44
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\api\auth.ts", "TypeScript", 31, 0, 0, 0, 0, 5, 6, 42
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\api\axios.ts", "TypeScript", 39, 0, 0, 0, 0, 10, 10, 59
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\api\course.ts", "TypeScript", 54, 0, 0, 0, 0, 10, 13, 77
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\api\exercise.ts", "TypeScript", 58, 0, 0, 0, 0, 11, 12, 81
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\api\resource.ts", "TypeScript", 54, 0, 0, 0, 0, 6, 11, 71
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\assets\vue.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\components\HelloWorld.vue", "vue", 0, 0, 35, 0, 0, 0, 7, 42
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\components\course\CourseCard.vue", "vue", 0, 0, 108, 0, 0, 0, 19, 127
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\components\course\CourseExerciseList.vue", "vue", 0, 0, 286, 0, 0, 0, 45, 331
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\components\course\CourseResourceList.vue", "vue", 0, 0, 512, 0, 0, 3, 86, 601
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\components\course\CourseSyllabus.vue", "vue", 0, 0, 87, 0, 0, 0, 14, 101
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\components\layout\AppHeader.vue", "vue", 0, 0, 150, 0, 0, 0, 29, 179
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\components\layout\AppSidebar.vue", "vue", 0, 0, 167, 0, 0, 0, 21, 188
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\main.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 1, 10
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\router\index.ts", "TypeScript", 78, 0, 0, 0, 0, 72, 6, 156
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\stores\auth.ts", "TypeScript", 82, 0, 0, 0, 0, 11, 19, 112
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\style.css", "CSS", 0, 0, 0, 0, 70, 0, 10, 80
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\styles\index.scss", "SCSS", 0, 0, 0, 195, 0, 17, 36, 248
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\views\Home.vue", "vue", 0, 0, 139, 0, 0, 0, 18, 157
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\views\NotFound.vue", "vue", 0, 0, 17, 0, 0, 0, 1, 18
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\views\auth\Login.vue", "vue", 0, 0, 142, 0, 0, 0, 24, 166
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\views\auth\Register.vue", "vue", 0, 0, 195, 0, 0, 0, 29, 224
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\views\course\CourseDetail.vue", "vue", 0, 0, 172, 0, 0, 6, 27, 205
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\views\exercise\ExerciseCreate.vue", "vue", 0, 0, 677, 0, 0, 7, 100, 784
"d:\桌面\大二下\软工\classmanager\EduSoft\qianduan\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"Total", "-", 405, 1, 2725, 195, 70, 159, 551, 4106
